,word,count
0,obama,27942
1,to,27534
2,economy,26635
3,microsoft,20655
4,the,17765
5,in,15993
6,for,12504
7,of,11460
8,on,10787
9,and,7799
10,a,7612
11,is,6660
12,with,5423
13,us,4861
14,palestine,4454
15,as,4229
16,new,3769
17,says,3520
18,at,3488
19,president,3111
20,will,2971
21,economic,2960
22,china,2755
23,windows,2749
24,2016,2494
25,10,2279
26,from,2221
27,global,2213
28,by,2199
29,trump,2100
30,be,2068
31,about,2063
32,up,1995
33,growth,1971
34,not,1955
35,how,1943
36,it,1926
37,over,1844
38,more,1818
39,palestinian,1775
40,israel,1654
41,after,1636
42,its,1577
43,are,1565
44,state,1546
45,world,1535
46,what,1509
47,why,1489
48,has,1467
49,but,1433
50,one,1400
51,uk,1375
52,could,1361
53,year,1330
54,brexit,1306
55,first,1279
56,barack,1275
57,surface,1259
58,xbox,1255
59,clinton,1250
60,that,1238
61,this,1201
62,can,1193
63,visit,1190
64,out,1171
65,an,1116
66,than,1112
67,you,1056
68,cloud,1047
69,court,1042
70,data,1021
71,may,1015
72,house,993
73,boost,978
74,no,972
75,into,971
76,his,970
77,oil,962
78,plan,960
79,india,952
80,business,935
81,white,925
82,2015,907
83,now,902
84,office,895
85,report,877
86,support,865
87,bank,863
88,administration,857
89,quarter,854
90,gun,850
91,help,847
92,against,846
93,pro,840
94,have,820
95,calls,819
96,apple,805
97,supreme,805
98,your,805
99,eu,796
100,deal,793
101,down,789
102,google,784
103,just,780
104,he,779
105,fed,767
106,app,763
107,israeli,759
108,minister,754
109,market,751
110,back,748
111,jobs,748
112,japan,739
113,big,728
114,update,726
115,climate,724
116,security,723
117,still,716
118,gop,712
119,next,695
120,4,686
121,off,686
122,top,683
123,isis,675
124,here,673
125,all,673
126,rate,669
127,2,667
128,we,665
129,make,659
130,would,652
131,michelle,641
132,time,635
133,chinese,620
134,should,617
135,bill,611
136,hillary,609
137,free,607
138,trade,603
139,policy,601
140,tech,597
141,shows,589
142,wants,584
143,sanders,582
144,russia,580
145,iran,580
146,lumia,576
147,grow,575
148,good,574
149,tax,573
150,get,573
151,growing,571
152,azure,566
153,government,566
154,warns,556
155,leaders,554
156,who,553
157,canada,552
158,fight,551
159,last,549
160,meet,549
161,cuba,549
162,donald,547
163,was,543
164,hololens,541
165,week,541
166,latest,538
167,news,534
168,plans,533
169,years,531
170,our,529
171,like,526
172,mobile,524
173,take,524
174,show,524
175,better,523
176,signs,522
177,gets,516
178,day,514
179,change,514
180,if,512
181,budget,507
182,5,506
183,amid,504
184,wont,503
185,percent,502
186,3,501
187,most,501
188,war,501
189,watch,500
190,crisis,499
191,billion,499
192,despite,499
193,or,489
194,america,489
195,two,488
196,outlook,483
197,power,483
198,campaign,479
199,sharing,478
200,future,478
201,saudi,476
202,south,472
203,announces,471
204,ahead,471
205,talks,471
206,launches,470
207,video,469
208,high,464
209,urges,464
210,open,460
211,ceo,460
212,speech,460
213,low,459
214,syria,459
215,end,457
216,focus,456
217,chief,455
218,takes,451
219,control,450
220,edge,449
221,grows,447
222,msft,447
223,anti,446
224,set,444
225,do,443
226,makes,442
227,attacks,442
228,russian,438
229,hit,435
230,stocks,433
231,congress,432
232,1,430
233,adds,427
234,must,426
235,people,423
236,gdp,422
237,phone,419
238,rise,418
239,million,417
240,strong,416
241,build,415
242,un,412
243,expected,410
244,best,408
245,say,408
246,peace,408
247,key,406
248,national,404
249,sales,401
250,americans,400
251,weak,400
252,indian,400
253,terror,400
254,digital,398
255,under,398
256,users,396
257,paris,396
258,recession,395
259,push,392
260,imf,388
261,android,387
262,dont,386
263,corporation,385
264,union,384
265,live,384
266,fuel,384
267,start,383
268,sees,382
269,work,380
270,german,378
271,brazil,377
272,prices,375
273,pm,375
274,band,374
275,review,373
276,islamic,372
277,legacy,371
278,vs,370
279,again,368
280,bad,365
281,political,364
282,law,362
283,immigration,362
284,some,361
285,real,361
286,summit,361
287,need,360
288,address,358
289,health,357
290,vote,357
291,impact,356
292,needs,355
293,american,355
294,another,353
295,facebook,351
296,linkedin,350
297,game,349
298,job,348
299,call,348
300,i,347
301,final,346
302,during,346
303,grew,345
304,debate,345
305,apps,343
306,book,343
307,pay,341
308,trip,340
309,release,339
310,when,338
311,price,337
312,east,337
313,releases,336
314,meeting,336
315,republicans,336
316,spending,335
317,seeks,334
318,faces,333
319,third,332
320,nigeria,332
321,election,331
322,trudeau,330
323,their,329
324,former,329
325,stop,328
326,risks,328
327,7,328
328,look,325
329,internet,324
330,stock,324
331,right,323
332,terrorism,323
333,rates,322
334,tells,322
335,africa,322
336,gig,321
337,shooting,321
338,does,320
339,refugees,320
340,way,319
341,so,319
342,local,319
343,putin,319
344,today,317
345,pc,317
346,attack,317
347,amazon,316
348,services,314
349,hiroshima,314
350,slows,313
351,action,313
352,black,312
353,north,311
354,upgrade,310
355,store,309
356,keep,309
357,service,308
358,rights,307
359,strategy,306
360,foreign,305
361,central,304
362,offers,304
363,asia,304
364,hits,304
365,senate,304
366,games,302
367,go,302
368,team,301
369,threat,300
370,europe,299
371,man,298
372,give,296
373,looks,296
374,365,295
375,official,295
376,texas,295
377,fears,294
378,buy,293
379,media,293
380,major,293
381,markets,292
382,nuclear,292
383,long,291
384,wall,290
385,see,290
386,australia,290
387,cruz,289
388,conference,289
389,cuts,288
390,france,288
391,orlando,288
392,pct,287
393,likely,286
394,biggest,286
395,use,286
396,too,285
397,leader,284
398,things,282
399,federal,282
400,industry,281
401,record,281
402,cortana,280
403,women,279
404,project,277
405,skype,277
406,issues,276
407,group,275
408,updates,275
409,amp,273
410,want,273
411,goes,272
412,poll,272
413,bernie,272
414,risk,271
415,since,270
416,working,270
417,school,270
418,rules,269
419,ios,268
420,meets,268
421,nadella,267
422,seen,266
423,slowing,266
424,turkey,266
425,republican,265
426,nominee,265
427,month,263
428,own,263
429,forecast,263
430,post,263
431,talk,261
432,doesnt,261
433,west,260
434,palestinians,260
435,950,260
436,vietnam,260
437,coming,259
438,canadian,259
439,slow,259
440,only,258
441,know,257
442,britain,257
443,preview,256
444,students,256
445,french,256
446,historic,256
447,technology,255
448,made,255
449,fix,254
450,expands,253
451,making,253
452,6,253
453,finally,252
454,home,252
455,there,252
456,energy,251
457,before,251
458,brings,251
459,arabia,250
460,three,250
461,save,250
462,gives,250
463,continues,249
464,face,249
465,executive,249
466,close,249
467,street,248
468,pick,248
469,bring,248
470,financial,247
471,recovery,246
472,launch,246
473,view,246
474,old,245
475,great,245
476,cant,245
477,politics,244
478,education,244
479,syrian,244
480,modi,244
481,demand,243
482,through,243
483,lead,241
484,military,241
485,behind,240
486,confidence,240
487,study,240
488,party,240
489,other,239
490,enterprise,239
491,play,239
492,shares,239
493,hike,239
494,cut,238
495,guns,238
496,going,236
497,slowdown,235
498,money,235
499,survey,235
500,center,234
501,violence,234
502,workers,233
503,life,233
504,sign,232
505,much,232
506,second,232
507,think,231
508,case,230
509,korea,230
510,presidential,230
511,public,230
512,getting,228
513,investment,228
514,software,227
515,finance,227
516,govt,226
517,justice,226
518,win,225
519,isnt,225
520,race,225
521,co,223
522,british,221
523,hard,221
524,eurozone,221
525,act,220
526,interest,220
527,city,219
528,between,219
529,role,219
530,my,219
531,water,219
532,killed,218
533,middle,218
534,reality,218
535,ai,218
536,earnings,217
